Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
"Waiting at the Curb: Lynwood, California, 1967",,,12,12
Movies & Shoes,,,13,14
Frost & Neruda,,,15,16
Friends,,,17,17
Escape from Town,,,18,18
Soap Opera,,,19,20
Hands,,,21,21
A Simple Plan,,,22,25
How Old is Fear?,,,26,26
Earned & Unearned Pennies,,,27,28
Orphans,,,29,30
"Russian Pork, 1962",,,31,32
Teeth Marks,,,33,33
"Now, Class, Close Your Books",,,34,35
"Nelson, My Dog",,,36,37
Bean Plants,,,40,42
Pastoral,,,43,43
Fresno's Westside Blues,,,44,45
"Sugar Beet Union, Sugar Beet Strike, 1903",,,46,47
"Dead, You Can Keep Going",,,48,49
Summer Work,,,50,51
Old Dog Sniffing Air,,,52,53
The Mixteca's Honored Guest,,,54,55
People in High Places,,,56,57
Hermanos,,,58,59
Thirty-Year Marriage,,,60,60
Life in a Small Apartment,,,61,61
This Time,,,62,62
A Walk in a County Park,,,63,64
Global Warming,,,65,66
Police State,,,67,69
Old Gent at Hyde Park,,,70,70
"The Salt of Two Old Friends, Now Dead",,,71,71
Indecision on a Small Farm,,,72,72
Fortune,,,73,74
"L.A. Scene at a Restaurant Called ""One""",,,75,75
Breakdown on a Small Road,,,76,76
"Birding with No Guide Book, No Clues",,,77,77
"The Artist Thinks, ""So This is Me""",,,78,79
