Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Zoo,,,17,18
"Ontology of Chang and Eng, The Original Siamese Twins",,,19,20
Rite of Passage,,,21,22
Helix,,,23,23
Assiduous Rant,,,24,24
Translating Pagaji,,,25,26
Scale,,,27,27
Body Builder,,,28,28
Melanin,,,29,29
Assimilation of Sitting,,,30,33
The Shameful Show of Tono Maria,,,37,38
During Bath,,,39,40
All the Aphrodisiacs,,,41,42
Not Henry Miller but Mother,,,43,43
On Splitting,,,44,46
Movement,,,47,47
Translating Michin'yun,,,48,48
To Collage a Beginning,,,49,53
Hottentot Venus,,,57,60
Androgynous Pronoun,,,61,61
The Scavenging,,,62,63
CAT Scan,,,64,64
Wing,,,65,68
Ablution,,,69,70
The Gatherer,,,71,72
Translating Mo'um,,,73,76
Timetable,,,77,77
