Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Night Train Called El Lechero,15,16,,
Bitterness,17,18,,
Connivance,19,20,,
The Hatchery,21,22,,
The Dirt Eaters,23,23,,
Pox,24,24,,
Las Tendederas/Clotheslines,25,26,,
The Parable of Stones,27,27,,
Luz & Balmaseda Street Corner Games,28,29,,
Excerpt from the Book of Hollows,30,31,,
San Lázaro's Procession,32,33,,
Papalotes/Kites,34,36,,
Urchins,37,38,,
Cochino,39,40,,
Epidemic,41,42,,
"Lenin's Park,,43, Havana",
What We Took,45,46,,
Wake,47,48,,
In the Land of Earthquakes,51,51,,
Oneida,52,53,,
Free,54,55,,
"El Refugio/Freedom Tower,,, Miami, Florida"
New Toothpaste,58,59,,
Lily,60,61,,
Tío Hipólito,62,62,,
Piedad,63,64,,
"San Luis,,65, Gardener of Miniature Roses",
The Seamstress,66,67,,
Las malas lenguas,68,68,,
My Cuban Parents Learn English in Night School,69,69,,
The Cubanito All-Stars,70,70,,
Rehab,71,74,,
Break,75,76,,
Prayer,77,77,,
Land of Plenty,78,78,,
"Biscayne Boulevard,,, Miami, 1974"
"Muñeca,,, Huntington Park, Nineteen Eighty Something"
Song to the Royal Palms of Miami,86,87,,
Symbiotic,88,89,,
Gallos finos,90,90,,
Fuel,91,91,,
Nostalgia,92,93,,
Mistranslation of Fire,94,94,,
Cuban American Gothic,95,95,,
Song to the Sugar Cane,96,96,,
The Trouble with Frogs,97,97,,
Relic Left Over from the Aftermath of the Cuban Revolution,98,98,,
"Views of a Broken Maximum Leader,,99, or No Absolution in History",
A Song on the End of the Cuban Revolution,101,101,,
